2024/05/17 10:26:59 [error] 21864#11260: *11008 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=913&action=elementor"
2024/09/30 13:42:02 [error] 29708#29936: *18780 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1279&action=edit"
2024/09/30 13:42:02 [error] 29708#29936: *18780 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1279&action=edit"
2024/09/30 13:42:03 [error] 29708#29936: *18791 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1279&action=edit"
2024/09/30 13:42:03 [error] 29708#29936: *18792 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=1287&action=edit HTTP/1.0", upstream: "fastcgi://php", host: "newsite.local", referrer: "http://newsite.local/wp-admin/edit.php?s=related&post_status=all&post_type=page&action=-1&m=0&paged=1&action2=-1"
2024/09/30 13:42:04 [error] 29708#29936: *18793 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=1295&action=edit HTTP/1.0", upstream: "fastcgi://php", host: "newsite.local", referrer: "http://newsite.local/wp-admin/edit.php?s=related&post_status=all&post_type=page&action=-1&m=0&paged=1&action2=-1"
2024/09/30 13:42:06 [error] 29708#29936: *18794 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=905&action=edit HTTP/1.0", upstream: "fastcgi://php", host: "newsite.local", referrer: "http://newsite.local/wp-admin/edit.php?s=related&post_status=all&post_type=page&action=-1&m=0&paged=1&action2=-1"
2024/09/30 13:42:11 [error] 29708#29936: *18795 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=1287&action=edit HTTP/1.0", upstream: "fastcgi://php", host: "newsite.local", referrer: "http://newsite.local/wp-admin/edit.php?s=related&post_status=all&post_type=page&action=-1&m=0&paged=1&action2=-1"
2024/10/02 14:05:56 [error] 31272#7664: *14037 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1400&action=edit"
2024/10/02 14:05:56 [error] 31272#7664: *14045 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1400&action=edit"
2024/10/02 14:05:56 [error] 31272#7664: *14041 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1400&action=edit"
2024/10/02 14:05:56 [error] 31272#7664: *14039 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/pages/1400?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1400&action=edit"
2024/10/02 14:05:56 [error] 31272#7664: *14039 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/pages/1400?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1400&action=edit"
2024/10/02 14:05:56 [error] 31272#7664: *14041 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1400&action=edit"
2024/10/02 14:05:56 [error] 31272#7664: *14037 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1400&action=edit"
2024/10/02 14:05:56 [error] 31272#7664: *14045 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1400&action=edit"
2024/10/02 14:05:56 [error] 31272#7664: *14043 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1400&action=edit"
2024/10/02 14:05:56 [error] 31272#7664: *14043 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1400&action=edit"
2024/10/02 14:05:57 [error] 31272#7664: *14050 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1400&action=edit"
2024/10/02 14:06:36 [error] 31272#7664: *14055 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-cron.php?doing_wp_cron=1727892396.1508901119232177734375 HTTP/1.0", upstream: "fastcgi://php", host: "newsite.local"
2024/10/02 14:06:36 [error] 31272#7664: *14056 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-cron.php?doing_wp_cron=1727892396.1508688926696777343750 HTTP/1.0", upstream: "fastcgi://php", host: "newsite.local"
